domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.0610056657223796,0.2200921763277384,0.05667745851881829,0.11741136765607303,353.0
www.stern.de,-0.008703020464384094,0.2595508659105487,0.0737012987012987,0.12338442935352552,242.0
www.faz.net,0.057863406434835,0.2330201417212775,0.06634873063444492,0.12870693702536115,91.0
www.bild.de,0.04835804789752158,0.22429677067542972,0.06703216374269005,0.11183190261750926,57.0
www.tagesspiegel.de,0.06786727456940223,0.16385899819412336,0.08371327254305977,0.14500501151962011,47.0
www.n-tv.de,0.0015056022408963597,0.2897934308994526,0.06343137254901961,0.11837070345847274,34.0
www.diepresse.com,0.1309577922077922,0.1770620498798298,0.09695165945165946,0.12855004899471517,33.0
www.welt.de,-0.013748079877112135,0.26544165885275933,0.06512032770097285,0.1255127116229269,31.0
www.tagesschau.de,0.004503284072249585,0.28929534443561467,0.06076902025177887,0.11035781473581448,29.0
www.sueddeutsche.de,0.09360119047619048,0.19063940718155173,0.05797619047619048,0.07925869017950048,20.0
www.nzz.ch,0.07846560846560846,0.2101282061663597,0.052248677248677246,0.07199690898533671,18.0
noe.orf.at,0.09488095238095237,0.2429822408178617,0.07789115646258503,0.11706938258098655,14.0
www.morgenpost.de,0.06338827838827839,0.19617540573007933,0.04615384615384616,0.08770580193070293,13.0
www.telepolis.de,-0.0302910052910053,0.32660181154964246,0.0,0.0,9.0
www.focus.de,0.06749999999999998,0.2117800596156155,0.07916666666666666,0.11675166971376633,8.0
www.brigitte.de,0.2242517006802721,0.27115679893779776,0.0,0.0,7.0
www.golem.de,0.051020408163265314,0.26110124628995346,0.0,0.0,7.0
orf.at,0.03952380952380952,0.2421464859024814,0.1142857142857143,0.14351041110399657,7.0
www.urlaubspiraten.de,0.13795351473922904,0.21838844805603172,0.11190476190476191,0.20788046015507497,7.0
vorarlberg.orf.at,0.09093915343915344,0.15418071919502696,0.06944444444444443,0.13350683156331017,6.0
taz.de,-0.09166666666666666,0.12555432644432804,0.18333333333333332,0.037267799624996496,5.0
steiermark.orf.at,-0.03476190476190477,0.15683908228635585,0.13333333333333333,0.2173067468400883,5.0
hallespektrum.de,0.10530303030303031,0.38547059595894473,0.0,0.0,5.0
www.fitforfun.de,0.30452380952380953,0.2132201017525862,0.05654761904761904,0.06967083280190252,4.0
kaernten.orf.at,0.07916666666666665,0.3556774964507616,0.06666666666666667,0.0816496580927726,4.0
www.kino.de,0.659375,0.20345326039822187,0.05625,0.1125,4.0
t3n.de,0.012499999999999997,0.18427786989579983,0.225,0.26299556396765833,4.0
sport.orf.at,0.10277777777777777,0.24387560075164408,0.0,0.0,4.0
www.ibiza-heute.de,0.03472222222222222,0.11758074451831592,0.09523809523809523,0.1649572197684645,3.0
www.autobild.de,0.145,0.13257073583562853,0.03333333333333333,0.05773502691896258,3.0
stadt-bremerhaven.de,0.0,0.0,0.21666666666666667,0.20207259421636903,3.0
ooe.orf.at,-0.0015476190476190477,0.1302060441975649,0.13095238095238096,0.12542444943872308,3.0
www.transfermarkt.de,0.0,0.0,0.14285714285714285,0.20203050891044214,2.0
www.teltarif.de,0.034999999999999996,0.049497474683058325,0.15000000000000002,0.07071067811865477,2.0
www.kino-zeit.de,0.25,0.0,0.0,0.0,2.0
www.spektrum.de,-0.26249999999999996,0.3712310601229374,0.125,0.1767766952966369,2.0
www.jungewelt.de,0.0,0.0,0.125,0.1767766952966369,2.0
www.dw.com,-0.030000000000000006,0.04242640687119286,0.1,0.14142135623730953,2.0
oe3.orf.at,0.2833333333333333,0.07071067811865475,0.0,0.0,2.0
praxistipps.chip.de,0.15416666666666665,0.5008673033404711,0.24166666666666667,0.22391714737574006,2.0
salzburg.orf.at,0.06999999999999999,0.09899494936611665,0.2,0.28284271247461906,2.0
science.orf.at,-0.05833333333333333,0.08249579113843054,0.0,0.0,2.0
sz-magazin.sueddeutsche.de,0.21375,0.17854446224960324,0.125,0.1767766952966369,2.0
www.businessinsider.de,0.3666666666666667,0.3535533905932738,0.16666666666666666,0.23570226039551584,2.0
tirol.orf.at,0.3833333333333333,0.3064129385141706,0.08333333333333333,0.11785113019775792,2.0
www.freitag.de,0.06999999999999999,0.09899494936611665,0.0,0.0,2.0
www.iphone-ticker.de,0.0,1.0,0.0,1.0,1.0
wien.orf.at,0.0,1.0,0.0,1.0,1.0
matadornetwork.com,0.0,1.0,0.0,1.0,1.0
www.waz.de,0.0,1.0,0.0,1.0,1.0
netzpolitik.org,0.0,1.0,0.0,1.0,1.0
www.photoscala.de,0.0,1.0,0.0,1.0,1.0
www.basicthinking.de,0.0,1.0,0.0,1.0,1.0
www.pcgames.de,0.0,1.0,0.0,1.0,1.0
www.nicorola.de,0.0,1.0,0.0,1.0,1.0
www.china-gadgets.de,0.0,1.0,0.0,1.0,1.0
www.computerbase.de,0.0,1.0,0.0,1.0,1.0
www.mobiflip.de,0.0,1.0,0.0,1.0,1.0
www.maclife.de,0.0,1.0,0.0,1.0,1.0
www.macerkopf.de,0.0,1.0,0.0,1.0,1.0
www.discountfan.de,0.0,1.0,0.0,1.0,1.0
futurezone.at,0.0,1.0,0.0,1.0,1.0
burgenland.orf.at,0.0,1.0,0.0,1.0,1.0
